Origin,Destination,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Percent
Region 0,Region 13,1,0.012,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.005,4,0.011,3,0.01,0,0,0,0,0,0,1,0.003,0,0,1,0.003,0,0,0,0,2,0.005,0,0,0,0,0,0,2,0.013,2,0.017
Region 0,Region 14,1,0.012,1,0.023,1,0.038,0,0,0,0,0,0,0,0,2,0.009,8,0.022,0,0,1,0.004,0,0,2,0.008,1,0.003,2,0.007,2,0.006,0,0,2,0.005,3,0.007,2,0.007,3,0.014,1,0.005,2,0.013,3,0.025
Region 0,Region 15,1,0.012,0,0,0,0,0,0,0,0,3,0.07,2,0.019,2,0.009,2,0.005,0,0,0,0,0,0,0,0,1,0.003,1,0.004,2,0.006,1,0.003,0,0,0,0,0,0,1,0.005,2,0.01,2,0.013,2,0.017
Region 0,Region 16,1,0.012,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,6,0.016,3,0.01,3,0.012,2,0.008,0,0,1,0.003,2,0.007,2,0.006,4,0.012,1,0.003,0,0,3,0.01,4,0.019,0,0,1,0.006,2,0.017
Region 0,Region 17,12,0.14,2,0.047,1,0.038,3,0.145,0,0,2,0.047,1,0.01,6,0.027,20,0.055,15,0.048,14,0.056,13,0.055,10,0.038,18,0.061,18,0.063,14,0.045,18,0.055,14,0.035,23,0.056,11,0.036,16,0.074,15,0.076,11,0.071,8,0.066
Region 0,Region 18,2,0.023,2,0.047,0,0,0,0,1,0.043,0,0,0,0,4,0.018,8,0.022,0,0,2,0.008,2,0.008,6,0.023,5,0.017,5,0.018,3,0.01,2,0.006,4,0.01,3,0.007,6,0.02,2,0.009,6,0.031,4,0.026,0,0
Region 0,Region 19,2,0.023,1,0.023,2,0.076,1,0.048,4,0.173,4,0.094,17,0.162,10,0.046,16,0.044,11,0.035,7,0.028,10,0.042,4,0.015,11,0.037,14,0.049,9,0.029,9,0.027,7,0.018,18,0.044,12,0.039,8,0.037,9,0.046,9,0.058,3,0.025
Region 0,Region 20,3,0.035,1,0.023,5,0.191,0,0,1,0.043,0,0,3,0.029,6,0.027,9,0.025,10,0.032,7,0.028,9,0.038,5,0.019,3,0.01,7,0.025,12,0.039,12,0.037,8,0.02,7,0.017,4,0.013,5,0.023,2,0.01,6,0.038,5,0.041
Region 0,Region 21,0,0,1,0.023,0,0,0,0,0,0,2,0.047,4,0.038,7,0.032,28,0.076,45,0.145,20,0.081,7,0.03,16,0.061,13,0.044,8,0.028,11,0.036,11,0.033,8,0.02,22,0.054,18,0.059,8,0.037,5,0.025,2,0.013,0,0
Region 0,Region 22,1,0.012,0,0,1,0.038,0,0,0,0,0,0,0,0,2,0.009,3,0.008,4,0.013,2,0.008,1,0.004,1,0.004,3,0.01,1,0.004,2,0.006,0,0,5,0.013,8,0.02,0,0,2,0.009,0,0,2,0.013,3,0.025
Region 0,Region 23,8,0.093,5,0.117,2,0.076,1,0.048,4,0.173,1,0.023,6,0.057,14,0.064,33,0.09,55,0.177,35,0.141,43,0.181,29,0.11,60,0.203,28,0.098,40,0.13,37,0.113,67,0.17,86,0.211,55,0.181,24,0.111,29,0.148,9,0.058,10,0.083
Region 0,Region 24,13,0.151,8,0.188,3,0.115,3,0.145,2,0.087,0,0,4,0.038,8,0.037,18,0.049,11,0.035,12,0.048,14,0.059,18,0.068,21,0.071,23,0.081,18,0.058,35,0.106,29,0.073,29,0.071,19,0.062,20,0.093,19,0.097,11,0.071,12,0.1
Region 0,Region 25,4,0.047,3,0.07,1,0.038,0,0,1,0.043,1,0.023,1,0.01,2,0.009,9,0.025,10,0.032,13,0.052,5,0.021,9,0.034,10,0.034,15,0.053,11,0.036,15,0.046,22,0.056,8,0.02,12,0.039,9,0.042,4,0.02,12,0.077,11,0.091
Region 0,Region 26,2,0.023,1,0.023,1,0.038,0,0,1,0.043,1,0.023,1,0.01,8,0.037,22,0.06,11,0.035,12,0.048,8,0.034,9,0.034,9,0.03,8,0.028,20,0.065,5,0.015,9,0.023,7,0.017,8,0.026,10,0.046,4,0.02,4,0.026,3,0.025
Region 0,Region 27,3,0.035,6,0.141,1,0.038,0,0,0,0,0,0,0,0,6,0.027,12,0.033,7,0.023,5,0.02,6,0.025,8,0.03,4,0.014,5,0.018,13,0.042,7,0.021,10,0.025,4,0.01,6,0.02,6,0.028,6,0.031,2,0.013,4,0.033
Region 0,Region 28,0,0,0,0,0,0,1,0.048,0,0,1,0.023,2,0.019,14,0.064,7,0.019,5,0.016,2,0.008,1,0.004,3,0.011,1,0.003,1,0.004,0,0,2,0.006,2,0.005,0,0,2,0.007,5,0.023,0,0,2,0.013,2,0.017
Region 0,Region 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.018,4,0.011,3,0.01,9,0.036,6,0.025,11,0.042,7,0.024,2,0.007,5,0.016,8,0.024,4,0.01,8,0.02,3,0.01,4,0.019,6,0.031,2,0.013,3,0.025
Region 0,Region 30,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,1,0.005,0,0,3,0.01,1,0.004,1,0.004,2,0.008,2,0.007,3,0.011,1,0.003,0,0,2,0.005,2,0.005,1,0.003,1,0.005,0,0,1,0.006,2,0.017
Region 0,Region 31,3,0.035,1,0.023,3,0.115,1,0.048,0,0,0,0,0,0,3,0.014,6,0.016,1,0.003,3,0.012,5,0.021,3,0.011,3,0.01,8,0.028,10,0.032,4,0.012,11,0.028,3,0.007,5,0.016,8,0.037,2,0.01,1,0.006,2,0.017
Region 0,Region 32,1,0.012,1,0.023,0,0,0,0,0,0,0,0,1,0.01,3,0.014,1,0.003,2,0.006,1,0.004,2,0.008,0,0,0,0,0,0,1,0.003,2,0.006,4,0.01,4,0.01,1,0.003,1,0.005,0,0,1,0.006,3,0.025
Region 0,Region 33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,2,0.005,0,0,0,0,1,0.004,0,0,0,0,0,0,0,0,1,0.003,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0
Region 0,Region 34,3,0.035,1,0.023,0,0,2,0.096,0,0,0,0,1,0.01,1,0.005,2,0.005,5,0.016,7,0.028,2,0.008,2,0.008,3,0.01,6,0.021,8,0.026,9,0.027,9,0.023,4,0.01,4,0.013,2,0.009,4,0.02,3,0.019,2,0.017
Region 0,Region 35,3,0.035,2,0.047,0,0,0,0,0,0,1,0.023,1,0.01,2,0.009,6,0.016,0,0,1,0.004,4,0.017,3,0.011,3,0.01,3,0.011,1,0.003,3,0.009,2,0.005,3,0.007,2,0.007,4,0.019,1,0.005,4,0.026,1,0.008
Region 0,Region 36,1,0.012,1,0.023,0,0,0,0,1,0.043,0,0,0,0,2,0.009,0,0,5,0.016,0,0,2,0.008,5,0.019,2,0.007,1,0.004,3,0.01,7,0.021,4,0.01,5,0.012,0,0,0,0,1,0.005,0,0,0,0
Region 0,Region 37,3,0.035,0,0,0,0,0,0,1,0.043,0,0,6,0.057,3,0.014,9,0.025,7,0.023,7,0.028,7,0.03,9,0.034,7,0.024,7,0.025,4,0.013,7,0.021,13,0.033,13,0.032,13,0.043,3,0.014,1,0.005,3,0.019,4,0.033
Region 0,Region 38,4,0.047,1,0.023,0,0,0,0,0,0,0,0,1,0.01,2,0.009,5,0.014,2,0.006,1,0.004,0,0,2,0.008,2,0.007,2,0.007,2,0.006,3,0.009,3,0.008,6,0.015,3,0.01,2,0.009,3,0.015,1,0.006,1,0.008
Region 0,Region 39,0,0,2,0.047,1,0.038,1,0.048,1,0.043,0,0,5,0.048,12,0.055,21,0.057,18,0.058,22,0.089,21,0.089,22,0.083,17,0.058,20,0.07,22,0.071,13,0.04,28,0.071,37,0.091,13,0.043,10,0.046,13,0.066,2,0.013,4,0.033
Region 0,Region 40,0,0,0,0,1,0.038,0,0,1,0.043,0,0,3,0.029,4,0.018,5,0.014,3,0.01,0,0,4,0.017,1,0.004,2,0.007,1,0.004,1,0.003,0,0,4,0.01,4,0.01,2,0.007,1,0.005,2,0.01,0,0,1,0.008
Region 0,Region 41,15,0.174,5,0.117,5,0.191,0,0,5,0.216,0,0,3,0.029,8,0.037,32,0.087,29,0.093,14,0.056,13,0.055,24,0.091,25,0.085,20,0.07,18,0.058,28,0.085,20,0.051,21,0.051,22,0.072,14,0.065,17,0.087,13,0.083,7,0.058
Region 0,Region 42,2,0.023,2,0.047,0,0,0,0,0,0,0,0,1,0.01,5,0.023,3,0.008,3,0.01,5,0.02,7,0.03,5,0.019,4,0.014,6,0.021,6,0.019,7,0.021,3,0.008,1,0.002,0,0,5,0.023,3,0.015,1,0.006,1,0.008
Region 0,Region 43,7,0.081,3,0.07,1,0.038,3,0.145,1,0.043,2,0.047,4,0.038,10,0.046,11,0.03,10,0.032,12,0.048,14,0.059,14,0.053,17,0.058,22,0.077,18,0.058,21,0.064,41,0.104,35,0.086,24,0.079,20,0.093,17,0.087,9,0.058,9,0.075
Region 0,Region 44,3,0.035,3,0.07,0,0,0,0,1,0.043,0,0,5,0.048,11,0.05,26,0.071,43,0.139,21,0.085,16,0.067,22,0.083,15,0.051,21,0.074,4,0.013,16,0.049,19,0.048,20,0.049,13,0.043,9,0.042,10,0.051,11,0.071,7,0.058
Region 0,Region 45,2,0.023,1,0.023,0,0,2,0.096,0,0,0,0,1,0.01,1,0.005,4,0.011,3,0.01,1,0.004,2,0.008,6,0.023,5,0.017,1,0.004,2,0.006,1,0.003,0,0,3,0.007,1,0.003,0,0,0,0,3,0.019,3,0.025
Region 0,Region 46,0,0,1,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 47,1,0.012,0,0,1,0.038,0,0,1,0.043,0,0,0,0,5,0.023,9,0.025,1,0.003,2,0.008,1,0.004,2,0.008,1,0.003,2,0.007,1,0.003,3,0.009,1,0.003,7,0.017,2,0.007,2,0.009,1,0.005,0,0,0,0
Region 0,Region 48,1,0.012,2,0.047,0,0,0,0,1,0.043,1,0.023,1,0.01,3,0.014,7,0.019,5,0.016,1,0.004,2,0.008,2,0.008,4,0.014,0,0,2,0.006,1,0.003,3,0.008,6,0.015,6,0.02,1,0.005,0,0,0,0,1,0.008
Region 0,Region 49,1,0.012,0,0,0,0,1,0.048,0,0,0,0,2,0.019,6,0.027,6,0.016,5,0.016,3,0.012,5,0.021,3,0.011,3,0.01,2,0.007,5,0.016,8,0.024,7,0.018,2,0.005,1,0.003,2,0.009,1,0.005,0,0,2,0.017
Region 1,Region 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.009,2,0.005,2,0.006,3,0.012,3,0.013,1,0.004,3,0.01,0,0,1,0.003,1,0.003,2,0.005,1,0.002,0,0,5,0.023,1,0.005,1,0.006,0,0
Region 1,Region 1,45,0.523,8,0.188,13,0.496,7,0.338,11,0.476,19,0.446,44,0.418,85,0.388,155,0.423,118,0.38,97,0.391,108,0.456,127,0.481,162,0.548,115,0.404,161,0.523,184,0.56,186,0.471,200,0.49,150,0.493,128,0.593,91,0.464,49,0.314,44,0.365
Region 1,Region 2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.019,4,0.018,9,0.025,3,0.01,3,0.012,7,0.03,4,0.015,1,0.003,3,0.011,2,0.006,2,0.006,3,0.008,4,0.01,2,0.007,4,0.019,1,0.005,2,0.013,1,0.008
Region 1,Region 3,0,0,0,0,0,0,0,0,2,0.087,0,0,3,0.029,2,0.009,4,0.011,0,0,1,0.004,2,0.008,1,0.004,2,0.007,1,0.004,0,0,2,0.006,2,0.005,3,0.007,1,0.003,1,0.005,0,0,2,0.013,0,0
Region 1,Region 4,0,0,0,0,0,0,0,0,0,0,1,0.023,1,0.01,5,0.023,9,0.025,4,0.013,4,0.016,1,0.004,2,0.008,1,0.003,4,0.014,1,0.003,1,0.003,2,0.005,1,0.002,3,0.01,1,0.005,1,0.005,2,0.013,1,0.008
Region 1,Region 5,0,0,0,0,0,0,0,0,0,0,2,0.047,1,0.01,0,0,2,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003,0,0,0,0,0,0,0,0
Region 1,Region 6,0,0,0,0,0,0,0,0,1,0.043,0,0,0,0,0,0,1,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003,1,0.002,0,0,0,0,0,0,0,0,0,0
Region 1,Region 7,3,0.035,0,0,0,0,3,0.145,4,0.173,4,0.094,23,0.219,48,0.219,34,0.093,5,0.016,23,0.093,8,0.034,24,0.091,11,0.037,13,0.046,15,0.049,9,0.027,7,0.018,7,0.017,9,0.03,7,0.032,2,0.01,7,0.045,4,0.033
Region 1,Region 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,2,0.005,1,0.003,1,0.004,1,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 1,Region 9,1,0.012,1,0.023,2,0.076,0,0,0,0,0,0,1,0.01,2,0.009,9,0.025,4,0.013,3,0.012,4,0.017,2,0.008,1,0.003,4,0.014,3,0.01,4,0.012,3,0.008,8,0.02,6,0.02,11,0.051,6,0.031,3,0.019,1,0.008
Region 1,Region 10,0,0,1,0.023,0,0,0,0,1,0.043,1,0.023,4,0.038,5,0.023,7,0.019,5,0.016,5,0.02,2,0.008,8,0.03,2,0.007,8,0.028,7,0.023,3,0.009,7,0.018,5,0.012,4,0.013,7,0.032,5,0.025,6,0.038,4,0.033
Region 1,Region 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,0,0,1,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 1,Region 12,1,0.012,1,0.023,0,0,0,0,0,0,3,0.07,8,0.076,16,0.073,15,0.041,20,0.064,18,0.073,10,0.042,10,0.038,12,0.041,14,0.049,14,0.045,21,0.064,14,0.035,12,0.029,13,0.043,16,0.074,9,0.046,8,0.051,1,0.008
Region 1,Region 13,13,0.151,8,0.188,4,0.153,6,0.289,9,0.389,11,0.258,36,0.342,49,0.224,63,0.172,65,0.209,40,0.161,52,0.219,55,0.208,53,0.179,67,0.235,77,0.25,81,0.246,92,0.233,106,0.26,59,0.194,41,0.19,42,0.214,34,0.218,14,0.116
Region 1,Region 14,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0,1,0.004,0,0,2,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,0,0,0,0,0,0
Region 1,Region 15,0,0,0,0,0,0,0,0,0,0,1,0.023,3,0.029,3,0.014,3,0.008,1,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 1,Region 16,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,2,0.005,1,0.003,2,0.008,1,0.004,0,0,0,0,2,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008
Region 1,Region 17,1,0.012,1,0.023,0,0,0,0,0,0,0,0,0,0,2,0.009,0,0,3,0.01,0,0,1,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,1,0.008
Region 1,Region 18,1,0.012,1,0.023,0,0,1,0.048,0,0,0,0,2,0.019,4,0.018,9,0.025,5,0.016,7,0.028,9,0.038,6,0.023,1,0.003,10,0.035,8,0.026,5,0.015,5,0.013,12,0.029,7,0.023,9,0.042,8,0.041,1,0.006,0,0
Region 1,Region 19,3,0.035,1,0.023,0,0,1,0.048,0,0,0,0,0,0,5,0.023,16,0.044,5,0.016,5,0.02,6,0.025,5,0.019,9,0.03,8,0.028,9,0.029,11,0.033,17,0.043,12,0.029,4,0.013,9,0.042,4,0.02,2,0.013,1,0.008
Region 1,Region 20,0,0,0,0,0,0,1,0.048,0,0,1,0.023,3,0.029,6,0.027,7,0.019,1,0.003,2,0.008,1,0.004,1,0.004,2,0.007,3,0.011,6,0.019,3,0.009,2,0.005,2,0.005,3,0.01,0,0,0,0,2,0.013,1,0.008
Region 1,Region 21,0,0,1,0.023,0,0,0,0,0,0,4,0.094,8,0.076,22,0.101,54,0.147,27,0.087,8,0.032,11,0.046,8,0.03,9,0.03,7,0.025,9,0.029,5,0.015,15,0.038,34,0.083,13,0.043,10,0.046,3,0.015,5,0.032,4,0.033
