Origin,Destination,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Percent
Region 0,Region 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 18,29,0.092,8,0.045,6,0.06,4,0.065,0,0,2,0.075,2,0.063,3,0.048,6,0.048,7,0.03,29,0.069,76,0.139,66,0.137,48,0.119,29,0.075,42,0.107,39,0.108,40,0.1,64,0.14,48,0.099,72,0.135,66,0.125,36,0.086,28,0.082
Region 0,Region 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 20,37,0.117,15,0.084,10,0.1,4,0.065,5,0.138,2,0.075,2,0.063,2,0.032,3,0.024,18,0.077,74,0.175,116,0.212,90,0.187,56,0.139,64,0.167,60,0.153,67,0.186,74,0.185,83,0.182,99,0.205,117,0.219,99,0.188,66,0.157,45,0.131
Region 0,Region 21,1,0.003,1,0.006,0,0,0,0,0,0,1,0.037,0,0,0,0,0,0,2,0.009,0,0,1,0.002,0,0,2,0.005,0,0,0,0,0,0,2,0.005,1,0.002,1,0.002,1,0.002,2,0.004,0,0,0,0
Region 0,Region 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 27,29,0.092,15,0.084,13,0.129,3,0.049,1,0.028,4,0.15,7,0.22,18,0.286,29,0.232,65,0.279,129,0.306,106,0.194,99,0.206,62,0.154,53,0.138,37,0.094,29,0.08,29,0.073,40,0.088,65,0.135,45,0.084,46,0.087,41,0.097,26,0.076
Region 0,Region 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 32,39,0.123,15,0.084,6,0.06,4,0.065,2,0.055,2,0.075,0,0,2,0.032,4,0.032,16,0.069,52,0.123,90,0.165,80,0.166,66,0.164,38,0.099,53,0.135,57,0.158,56,0.14,79,0.173,73,0.151,103,0.193,101,0.192,61,0.145,57,0.166
Region 0,Region 33,26,0.082,9,0.051,10,0.1,4,0.065,2,0.055,1,0.037,0,0,3,0.048,2,0.016,5,0.021,37,0.088,79,0.145,74,0.154,29,0.072,32,0.083,36,0.092,34,0.094,34,0.085,37,0.081,86,0.178,63,0.118,57,0.108,39,0.093,32,0.093
Region 0,Region 34,4,0.013,1,0.006,0,0,1,0.016,0,0,0,0,0,0,0,0,0,0,1,0.004,3,0.007,2,0.004,3,0.006,3,0.007,0,0,1,0.003,2,0.006,1,0.003,3,0.007,3,0.006,6,0.011,2,0.004,0,0,2,0.006
Region 0,Region 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 39,11,0.035,7,0.039,1,0.01,0,0,0,0,0,0,0,0,3,0.048,2,0.016,7,0.03,14,0.033,17,0.031,21,0.044,10,0.025,13,0.034,9,0.023,7,0.019,14,0.035,7,0.015,9,0.019,15,0.028,19,0.036,15,0.036,15,0.044
Region 0,Region 40,5,0.016,1,0.006,2,0.02,2,0.033,2,0.055,1,0.037,0,0,0,0,1,0.008,8,0.034,16,0.038,35,0.064,18,0.037,13,0.032,13,0.034,13,0.033,10,0.028,16,0.04,21,0.046,13,0.027,20,0.037,27,0.051,12,0.029,5,0.015
Region 0,Region 41,3,0.009,1,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,2,0.004,0,0,1,0.002,1,0.003,1,0.003,1,0.003,0,0,2,0.004,4,0.008,3,0.006,1,0.002,3,0.007,2,0.006
Region 0,Region 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 47,13,0.041,7,0.039,2,0.02,3,0.049,1,0.028,0,0,0,0,4,0.064,5,0.04,11,0.047,15,0.036,34,0.062,25,0.052,16,0.04,16,0.042,13,0.033,12,0.033,6,0.015,17,0.037,26,0.054,27,0.05,16,0.03,12,0.029,12,0.035
Region 0,Region 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 49,7,0.022,7,0.039,3,0.03,0,0,1,0.028,1,0.037,3,0.094,3,0.048,9,0.072,17,0.073,33,0.078,40,0.073,35,0.073,33,0.082,25,0.065,20,0.051,14,0.039,14,0.035,14,0.031,20,0.041,7,0.013,16,0.03,7,0.017,5,0.015
Region 0,Region 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004,3,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,1,0.002,1,0.002,0,0,0,0
Region 0,Region 51,11,0.035,5,0.028,1,0.01,1,0.016,0,0,0,0,0,0,1,0.016,1,0.008,4,0.017,11,0.026,12,0.022,12,0.025,9,0.022,8,0.021,7,0.018,4,0.011,10,0.025,8,0.018,12,0.025,9,0.017,14,0.027,6,0.014,5,0.015
Region 0,Region 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 53,21,0.066,11,0.062,11,0.11,6,0.098,4,0.11,0,0,0,0,4,0.064,8,0.064,21,0.09,36,0.085,47,0.086,32,0.067,19,0.047,31,0.081,19,0.048,12,0.033,12,0.03,7,0.015,8,0.017,11,0.021,10,0.019,12,0.029,17,0.05
Region 0,Region 54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 55,1,0.003,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016,0,0,1,0.004,1,0.002,4,0.007,4,0.008,2,0.005,3,0.008,3,0.008,3,0.008,1,0.003,1,0.002,2,0.004,2,0.004,2,0.004,0,0,1,0.003
Region 0,Region 56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 58,1,0.003,0,0,0,0,1,0.016,0,0,1,0.037,0,0,0,0,0,0,0,0,5,0.012,2,0.004,7,0.015,5,0.012,3,0.008,3,0.008,3,0.008,3,0.008,3,0.007,7,0.014,3,0.006,6,0.011,5,0.012,0,0
Region 0,Region 59,10,0.032,2,0.011,1,0.01,3,0.049,0,0,0,0,0,0,1,0.016,2,0.016,7,0.03,46,0.109,46,0.084,33,0.069,27,0.067,28,0.073,13,0.033,23,0.064,17,0.043,31,0.068,14,0.029,29,0.054,16,0.03,15,0.036,12,0.035
Region 0,Region 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 75,7,0.022,2,0.011,1,0.01,2,0.033,0,0,0,0,0,0,1,0.016,6,0.048,11,0.047,41,0.097,63,0.115,52,0.108,34,0.084,15,0.039,19,0.048,28,0.078,34,0.085,34,0.074,27,0.056,25,0.047,23,0.044,18,0.043,9,0.026
Region 0,Region 76,22,0.07,15,0.084,4,0.04,6,0.098,0,0,0,0,1,0.031,2,0.032,1,0.008,4,0.017,49,0.116,107,0.196,72,0.15,31,0.077,40,0.104,49,0.125,48,0.133,49,0.123,65,0.142,67,0.139,67,0.125,60,0.114,47,0.112,33,0.096
Region 0,Region 77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
