Origin,Destination,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Percent
Region 0,Region 12,1,0.011,2,0.053,1,0.043,1,0.065,0,0,1,0.034,0,0,7,0.038,20,0.057,14,0.036,13,0.041,11,0.039,10,0.034,15,0.048,17,0.053,14,0.041,10,0.027,12,0.028,12,0.026,9,0.026,9,0.037,5,0.023,4,0.022,2,0.014
Region 0,Region 13,10,0.111,6,0.159,3,0.13,4,0.261,2,0.133,6,0.202,5,0.065,23,0.124,131,0.376,134,0.345,81,0.257,65,0.23,57,0.196,66,0.21,77,0.24,83,0.242,105,0.284,136,0.312,157,0.341,116,0.334,69,0.282,66,0.302,49,0.27,15,0.107
Region 0,Region 14,3,0.033,3,0.079,1,0.043,3,0.196,3,0.199,0,0,3,0.039,4,0.022,22,0.063,21,0.054,17,0.054,8,0.028,17,0.059,14,0.045,15,0.047,17,0.05,25,0.068,26,0.06,30,0.065,16,0.046,9,0.037,14,0.064,5,0.028,4,0.028
Region 0,Region 15,8,0.089,2,0.053,1,0.043,1,0.065,0,0,0,0,5,0.065,20,0.108,10,0.029,18,0.046,19,0.06,18,0.064,10,0.034,15,0.048,18,0.056,19,0.055,22,0.059,28,0.064,44,0.096,26,0.075,21,0.086,11,0.05,12,0.066,8,0.057
Region 0,Region 16,2,0.022,0,0,1,0.043,0,0,0,0,0,0,2,0.026,10,0.054,33,0.095,41,0.105,28,0.089,40,0.142,43,0.148,30,0.095,30,0.094,23,0.067,38,0.103,44,0.101,51,0.111,45,0.13,25,0.102,17,0.078,12,0.066,9,0.064
Region 0,Region 17,14,0.156,6,0.159,1,0.043,1,0.065,3,0.199,5,0.168,9,0.117,79,0.428,269,0.772,289,0.743,132,0.418,85,0.301,58,0.2,47,0.15,56,0.175,47,0.137,50,0.135,64,0.147,89,0.193,64,0.184,41,0.168,46,0.211,32,0.176,21,0.15
Region 0,Region 18,2,0.022,1,0.026,0,0,1,0.065,0,0,0,0,2,0.026,4,0.022,4,0.011,6,0.015,8,0.025,4,0.014,3,0.01,2,0.006,4,0.012,1,0.003,6,0.016,7,0.016,6,0.013,2,0.006,7,0.029,3,0.014,3,0.017,1,0.007
Region 0,Region 19,2,0.022,1,0.026,1,0.043,0,0,0,0,0,0,0,0,2,0.011,2,0.006,5,0.013,1,0.003,4,0.014,0,0,7,0.022,8,0.025,6,0.018,3,0.008,7,0.016,7,0.015,7,0.02,2,0.008,2,0.009,3,0.017,1,0.007
Region 0,Region 20,1,0.011,0,0,4,0.174,1,0.065,1,0.066,0,0,3,0.039,19,0.103,40,0.115,42,0.108,37,0.117,18,0.064,20,0.069,15,0.048,22,0.069,30,0.088,18,0.049,26,0.06,22,0.048,23,0.066,12,0.049,14,0.064,14,0.077,6,0.043
Region 0,Region 21,1,0.011,0,0,1,0.043,1,0.065,0,0,0,0,2,0.026,3,0.016,6,0.017,17,0.044,11,0.035,10,0.035,7,0.024,8,0.025,5,0.016,11,0.032,15,0.041,13,0.03,17,0.037,12,0.035,10,0.041,7,0.032,10,0.055,1,0.007
Region 0,Region 22,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013,0,0,1,0.003,3,0.008,0,0,1,0.004,4,0.014,4,0.013,4,0.012,4,0.012,1,0.003,3,0.007,1,0.002,2,0.006,0,0,2,0.009,4,0.022,1,0.007
Region 0,Region 23,7,0.078,2,0.053,2,0.087,0,0,1,0.066,0,0,0,0,8,0.043,8,0.023,15,0.039,16,0.051,11,0.039,10,0.034,18,0.057,11,0.034,12,0.035,12,0.032,38,0.087,22,0.048,18,0.052,12,0.049,12,0.055,8,0.044,4,0.028
Region 0,Region 24,1,0.011,0,0,0,0,1,0.065,0,0,0,0,2,0.026,1,0.005,3,0.009,1,0.003,4,0.013,3,0.011,5,0.017,7,0.022,3,0.009,4,0.012,4,0.011,4,0.009,7,0.015,7,0.02,2,0.008,4,0.018,0,0,1,0.007
Region 0,Region 25,2,0.022,2,0.053,4,0.174,0,0,0,0,1,0.034,2,0.026,9,0.049,23,0.066,21,0.054,12,0.038,0,0,9,0.031,11,0.035,9,0.028,11,0.032,6,0.016,18,0.041,22,0.048,10,0.029,7,0.029,9,0.041,8,0.044,5,0.036
Region 1,Region 0,8,0.089,4,0.106,3,0.13,2,0.131,1,0.066,1,0.034,4,0.052,14,0.076,46,0.132,38,0.098,22,0.07,25,0.088,26,0.09,31,0.099,26,0.081,38,0.111,35,0.095,31,0.071,35,0.076,45,0.13,28,0.115,38,0.174,41,0.226,19,0.135
Region 1,Region 1,55,0.612,18,0.476,16,0.694,9,0.588,4,0.266,6,0.202,18,0.233,50,0.271,127,0.365,251,0.645,166,0.526,137,0.485,141,0.486,202,0.643,173,0.54,162,0.473,217,0.586,306,0.702,366,0.795,362,1.043,201,0.822,184,0.843,133,0.732,117,0.833
Region 1,Region 2,8,0.089,5,0.132,3,0.13,2,0.131,0,0,3,0.101,7,0.091,21,0.114,41,0.118,69,0.177,45,0.143,25,0.088,28,0.096,30,0.095,39,0.122,37,0.108,44,0.119,75,0.172,86,0.187,103,0.297,37,0.151,40,0.183,30,0.165,22,0.157
Region 1,Region 3,1,0.011,0,0,1,0.043,0,0,0,0,0,0,1,0.013,0,0,3,0.009,4,0.01,3,0.01,0,0,0,0,2,0.006,5,0.016,2,0.006,3,0.008,4,0.009,2,0.004,4,0.012,1,0.004,3,0.014,5,0.028,1,0.007
Region 1,Region 4,4,0.045,2,0.053,1,0.043,0,0,0,0,0,0,1,0.013,0,0,0,0,3,0.008,2,0.006,2,0.007,10,0.034,1,0.003,5,0.016,5,0.015,13,0.035,9,0.021,8,0.017,7,0.02,10,0.041,7,0.032,6,0.033,2,0.014
Region 1,Region 5,1,0.011,3,0.079,0,0,0,0,1,0.066,0,0,3,0.039,3,0.016,9,0.026,6,0.015,7,0.022,10,0.035,7,0.024,8,0.025,5,0.016,11,0.032,8,0.022,6,0.014,5,0.011,8,0.023,8,0.033,10,0.046,8,0.044,6,0.043
Region 1,Region 6,18,0.2,9,0.238,5,0.217,2,0.131,2,0.133,0,0,4,0.052,11,0.06,16,0.046,28,0.072,33,0.105,32,0.113,39,0.134,31,0.099,37,0.115,32,0.093,46,0.124,58,0.133,70,0.152,67,0.193,41,0.168,28,0.128,23,0.127,18,0.128
Region 1,Region 7,8,0.089,4,0.106,1,0.043,5,0.327,1,0.066,0,0,2,0.026,10,0.054,8,0.023,21,0.054,15,0.048,9,0.032,12,0.041,19,0.06,7,0.022,9,0.026,20,0.054,21,0.048,12,0.026,14,0.04,16,0.065,18,0.082,13,0.072,10,0.071
Region 1,Region 8,21,0.234,13,0.344,7,0.304,4,0.261,1,0.066,2,0.067,6,0.078,36,0.195,92,0.264,74,0.19,54,0.171,50,0.177,51,0.176,67,0.213,61,0.19,63,0.184,61,0.165,56,0.128,87,0.189,55,0.158,61,0.249,52,0.238,46,0.253,42,0.299
Region 1,Region 9,5,0.056,5,0.132,1,0.043,2,0.131,2,0.133,1,0.034,8,0.104,11,0.06,8,0.023,3,0.008,8,0.025,4,0.014,5,0.017,14,0.045,6,0.019,5,0.015,10,0.027,20,0.046,16,0.035,10,0.029,6,0.025,9,0.041,5,0.028,3,0.021
Region 1,Region 10,26,0.289,22,0.582,11,0.477,10,0.653,4,0.266,7,0.235,22,0.285,61,0.33,109,0.313,126,0.324,91,0.288,89,0.315,126,0.434,124,0.395,128,0.399,144,0.42,169,0.456,227,0.521,258,0.56,161,0.464,123,0.503,104,0.477,85,0.468,84,0.598
Region 1,Region 11,5,0.056,1,0.026,2,0.087,1,0.065,0,0,0,0,2,0.026,5,0.027,3,0.009,10,0.026,7,0.022,8,0.028,7,0.024,4,0.013,9,0.028,5,0.015,14,0.038,31,0.071,17,0.037,17,0.049,9,0.037,11,0.05,10,0.055,4,0.028
Region 1,Region 12,8,0.089,1,0.026,1,0.043,2,0.131,0,0,2,0.067,3,0.039,7,0.038,14,0.04,17,0.044,9,0.029,6,0.021,8,0.028,12,0.038,6,0.019,14,0.041,11,0.03,13,0.03,19,0.041,15,0.043,11,0.045,14,0.064,5,0.028,3,0.021
Region 1,Region 13,27,0.3,15,0.397,12,0.521,4,0.261,5,0.332,8,0.269,19,0.246,41,0.222,147,0.422,178,0.458,71,0.225,82,0.29,79,0.272,82,0.261,106,0.331,95,0.277,163,0.44,139,0.319,147,0.319,113,0.325,86,0.352,84,0.385,85,0.468,55,0.392
Region 1,Region 14,19,0.211,7,0.185,7,0.304,4,0.261,8,0.532,7,0.235,6,0.078,40,0.216,86,0.247,84,0.216,48,0.152,38,0.134,51,0.176,51,0.162,50,0.156,50,0.146,46,0.124,82,0.188,71,0.154,32,0.092,41,0.168,33,0.151,27,0.149,33,0.235
Region 1,Region 15,1,0.011,2,0.053,1,0.043,0,0,1,0.066,0,0,1,0.013,1,0.005,5,0.014,7,0.018,5,0.016,2,0.007,2,0.007,5,0.016,9,0.028,7,0.02,9,0.024,12,0.028,12,0.026,11,0.032,4,0.016,4,0.018,5,0.028,1,0.007
Region 1,Region 16,1,0.011,0,0,1,0.043,0,0,1,0.066,0,0,0,0,0,0,2,0.006,1,0.003,0,0,0,0,4,0.014,1,0.003,4,0.012,6,0.018,4,0.011,4,0.009,8,0.017,5,0.014,6,0.025,5,0.023,1,0.006,4,0.028
Region 1,Region 17,35,0.389,12,0.317,13,0.564,5,0.327,7,0.465,5,0.168,12,0.156,38,0.206,120,0.345,199,0.512,127,0.402,55,0.195,64,0.22,74,0.236,76,0.237,73,0.213,72,0.194,113,0.259,125,0.271,112,0.323,91,0.372,81,0.371,76,0.418,63,0.449
Region 1,Region 18,4,0.045,0,0,0,0,2,0.131,0,0,0,0,3,0.039,3,0.016,6,0.017,7,0.018,7,0.022,4,0.014,9,0.031,15,0.048,9,0.028,9,0.026,13,0.035,21,0.048,12,0.026,9,0.026,6,0.025,12,0.055,6,0.033,6,0.043
Region 1,Region 19,13,0.145,7,0.185,1,0.043,1,0.065,0,0,3,0.101,3,0.039,8,0.043,25,0.072,31,0.08,16,0.051,16,0.057,24,0.083,24,0.076,23,0.072,29,0.085,30,0.081,65,0.149,84,0.182,43,0.124,28,0.115,21,0.096,19,0.105,27,0.192
Region 1,Region 20,19,0.211,9,0.238,2,0.087,4,0.261,4,0.266,1,0.034,7,0.091,29,0.157,52,0.149,107,0.275,62,0.196,60,0.212,60,0.207,63,0.201,56,0.175,52,0.152,74,0.2,92,0.211,96,0.208,66,0.19,47,0.192,65,0.298,58,0.319,35,0.249
Region 1,Region 21,2,0.022,1,0.026,0,0,0,0,0,0,0,0,2,0.026,2,0.011,3,0.009,2,0.005,1,0.003,2,0.007,6,0.021,6,0.019,4,0.012,5,0.015,7,0.019,10,0.023,12,0.026,11,0.032,9,0.037,8,0.037,6,0.033,4,0.028
Region 1,Region 22,3,0.033,3,0.079,1,0.043,0,0,0,0,0,0,0,0,0,0,2,0.006,3,0.008,9,0.029,2,0.007,2,0.007,1,0.003,6,0.019,10,0.029,7,0.019,3,0.007,4,0.009,3,0.009,3,0.012,5,0.023,5,0.028,1,0.007
Region 1,Region 23,22,0.245,7,0.185,2,0.087,2,0.131,3,0.199,5,0.168,8,0.104,27,0.146,57,0.164,60,0.154,41,0.13,30,0.106,30,0.103,39,0.124,44,0.137,60,0.175,96,0.259,101,0.232,92,0.2,59,0.17,48,0.196,49,0.225,44,0.242,38,0.271
Region 1,Region 24,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013,0,0,0,0,5,0.013,4,0.013,2,0.007,2,0.007,3,0.01,2,0.006,2,0.006,5,0.014,7,0.016,7,0.015,1,0.003,2,0.008,4,0.018,0,0,4,0.028
Region 1,Region 25,5,0.056,2,0.053,0,0,1,0.065,0,0,1,0.034,5,0.065,8,0.043,18,0.052,15,0.039,18,0.057,17,0.06,16,0.055,22,0.07,19,0.059,27,0.079,26,0.07,30,0.069,39,0.085,34,0.098,20,0.082,22,0.101,14,0.077,16,0.114
Region 2,Region 0,33,0.367,10,0.264,0,0,3,0.196,0,0,4,0.134,8,0.104,20,0.108,46,0.132,41,0.105,47,0.149,28,0.099,40,0.138,47,0.15,34,0.106,56,0.163,75,0.203,94,0.216,106,0.23,46,0.132,32,0.131,62,0.284,96,0.528,84,0.598
Region 2,Region 1,17,0.189,7,0.185,5,0.217,1,0.065,0,0,1,0.034,4,0.052,12,0.065,47,0.135,69,0.177,47,0.149,32,0.113,36,0.124,53,0.169,45,0.14,53,0.155,64,0.173,132,0.303,151,0.328,110,0.317,49,0.2,36,0.165,32,0.176,32,0.228
Region 2,Region 2,60,0.668,16,0.423,15,0.651,4,0.261,3,0.199,10,0.336,25,0.324,72,0.39,220,0.632,305,0.784,227,0.719,146,0.517,149,0.513,179,0.57,139,0.434,192,0.56,250,0.675,389,0.892,466,1.012,351,1.011,137,0.56,116,0.532,116,0.638,88,0.627
Region 2,Region 3,3,0.033,0,0,0,0,0,0,0,0,1,0.034,0,0,0,0,0,0,6,0.015,7,0.022,6,0.021,3,0.01,3,0.01,3,0.009,6,0.018,4,0.011,11,0.025,12,0.026,3,0.009,4,0.016,1,0.005,2,0.011,1,0.007
Region 2,Region 4,6,0.067,0,0,0,0,0,0,0,0,1,0.034,0,0,0,0,2,0.006,7,0.018,5,0.016,5,0.018,2,0.007,3,0.01,5,0.016,7,0.02,6,0.016,12,0.028,21,0.046,10,0.029,6,0.025,9,0.041,9,0.05,12,0.085
Region 2,Region 5,4,0.045,0,0,1,0.043,0,0,0,0,1,0.034,2,0.026,5,0.027,2,0.006,0,0,5,0.016,6,0.021,3,0.01,3,0.01,7,0.022,6,0.018,4,0.011,3,0.007,8,0.017,4,0.012,3,0.012,6,0.027,11,0.061,10,0.071
Region 2,Region 6,5,0.056,2,0.053,1,0.043,2,0.131,0,0,0,0,2,0.026,4,0.022,11,0.032,9,0.023,9,0.029,9,0.032,5,0.017,12,0.038,10,0.031,10,0.029,23,0.062,20,0.046,22,0.048,11,0.032,8,0.033,6,0.027,8,0.044,7,0.05
Region 2,Region 7,16,0.178,8,0.212,5,0.217,3,0.196,2,0.133,2,0.067,9,0.117,11,0.06,23,0.066,45,0.116,20,0.063,22,0.078,17,0.059,21,0.067,19,0.059,22,0.064,33,0.089,47,0.108,49,0.106,34,0.098,17,0.07,16,0.073,19,0.105,24,0.171
Region 2,Region 8,49,0.545,9,0.238,5,0.217,2,0.131,1,0.066,3,0.101,13,0.169,45,0.244,107,0.307,180,0.463,126,0.399,108,0.382,70,0.241,110,0.35,116,0.362,123,0.359,155,0.419,150,0.344,178,0.387,140,0.403,61,0.249,71,0.325,99,0.545,159,1.133
Region 2,Region 9,6,0.067,1,0.026,0,0,3,0.196,0,0,2,0.067,2,0.026,1,0.005,2,0.006,5,0.013,7,0.022,5,0.018,4,0.014,1,0.003,6,0.019,2,0.006,6,0.016,15,0.034,22,0.048,5,0.014,8,0.033,3,0.014,2,0.011,8,0.057
Region 2,Region 10,19,0.211,5,0.132,2,0.087,5,0.327,1,0.066,5,0.168,7,0.091,11,0.06,29,0.083,33,0.085,51,0.162,48,0.17,40,0.138,42,0.134,54,0.168,45,0.131,73,0.197,98,0.225,97,0.211,40,0.115,24,0.098,32,0.147,65,0.358,62,0.442
Region 2,Region 11,16,0.178,4,0.106,1,0.043,0,0,3,0.199,3,0.101,2,0.026,6,0.032,13,0.037,9,0.023,16,0.051,17,0.06,12,0.041,19,0.06,19,0.059,24,0.07,19,0.051,25,0.057,21,0.046,27,0.078,14,0.057,8,0.037,7,0.039,6,0.043
Region 2,Region 12,3,0.033,1,0.026,2,0.087,0,0,0,0,0,0,1,0.013,3,0.016,18,0.052,35,0.09,24,0.076,17,0.06,18,0.062,18,0.057,19,0.059,30,0.088,28,0.076,30,0.069,28,0.061,26,0.075,9,0.037,16,0.073,9,0.05,5,0.036
Region 2,Region 13,108,1.202,15,0.397,9,0.39,9,0.588,7,0.465,3,0.101,15,0.194,46,0.249,130,0.373,216,0.555,107,0.339,94,0.333,123,0.424,116,0.369,125,0.39,163,0.476,250,0.675,374,0.858,385,0.836,186,0.536,114,0.466,156,0.715,285,1.568,300,2.137
Region 2,Region 14,64,0.712,7,0.185,3,0.13,7,0.457,3,0.199,5,0.168,18,0.233,40,0.216,56,0.161,113,0.291,47,0.149,67,0.237,54,0.186,52,0.166,57,0.178,66,0.193,85,0.23,111,0.255,85,0.185,73,0.21,30,0.123,55,0.252,88,0.484,108,0.769
