origin,destination,hour,cluster,leaving,heading,activity,people
0,7,8-9,HE_07,residential,commercial,Sleep->Work,36
0,8,8-9,YC_01,residential,commercial,Sleep->Work,11
0,8,8-9,MP_02,residential,commercial,Sleep->Work,13
0,8,8-9,LI_04,residential,commercial,Sleep->Work,10
0,8,8-9,FH_05,residential,commercial,Sleep->Work,11
0,8,8-9,SY_06,residential,education,Sleep->Work,4
0,8,8-9,HE_07,residential,commercial,Sleep->Work,14
0,9,8-9,YC_01,residential,commercial,Sleep->Work,189
0,9,8-9,MP_02,residential,commercial,Sleep->Work,223
0,9,8-9,LI_04,residential,commercial,Sleep->Work,172
0,9,8-9,FH_05,residential,commercial,Sleep->Work,189
0,9,8-9,SY_06,residential,education,Sleep->Work,69
0,9,8-9,HE_07,residential,commercial,Sleep->Work,240
0,10,8-9,YC_01,residential,commercial,Sleep->Work,33
0,10,8-9,MP_02,residential,commercial,Sleep->Work,39
0,10,8-9,LI_04,residential,commercial,Sleep->Work,30
0,10,8-9,FH_05,residential,commercial,Sleep->Work,33
0,10,8-9,SY_06,residential,education,Sleep->Work,12
0,10,8-9,HE_07,residential,commercial,Sleep->Work,42
0,11,8-9,YC_01,residential,commercial,Sleep->Work,32
0,11,8-9,MP_02,residential,commercial,Sleep->Work,38
0,11,8-9,LI_04,residential,commercial,Sleep->Work,29
0,11,8-9,FH_05,residential,commercial,Sleep->Work,32
0,11,8-9,SY_06,residential,education,Sleep->Work,12
0,11,8-9,HE_07,residential,commercial,Sleep->Work,41
0,12,8-9,YC_01,residential,commercial,Sleep->Work,34
0,12,8-9,MP_02,residential,commercial,Sleep->Work,40
0,12,8-9,LI_04,residential,commercial,Sleep->Work,31
0,12,8-9,FH_05,residential,commercial,Sleep->Work,34
0,12,8-9,SY_06,residential,education,Sleep->Work,12
0,12,8-9,HE_07,residential,commercial,Sleep->Work,43
0,14,8-9,YC_01,residential,commercial,Sleep->Work,26
0,14,8-9,MP_02,residential,commercial,Sleep->Work,31
0,14,8-9,LI_04,residential,commercial,Sleep->Work,24
0,14,8-9,FH_05,residential,commercial,Sleep->Work,26
0,14,8-9,SY_06,residential,education,Sleep->Work,10
0,14,8-9,HE_07,residential,commercial,Sleep->Work,33
0,15,8-9,YC_01,residential,commercial,Sleep->Work,29
0,15,8-9,MP_02,residential,commercial,Sleep->Work,35
0,15,8-9,LI_04,residential,commercial,Sleep->Work,27
0,15,8-9,FH_05,residential,commercial,Sleep->Work,29
0,15,8-9,SY_06,residential,education,Sleep->Work,11
0,15,8-9,HE_07,residential,commercial,Sleep->Work,37
0,16,8-9,YC_01,residential,commercial,Sleep->Work,41
0,16,8-9,MP_02,residential,commercial,Sleep->Work,48
0,16,8-9,LI_04,residential,commercial,Sleep->Work,37
0,16,8-9,FH_05,residential,commercial,Sleep->Work,41
0,16,8-9,SY_06,residential,education,Sleep->Work,15
0,16,8-9,HE_07,residential,commercial,Sleep->Work,52
1,1,8-9,YC_01,residential,commercial,Work->Work,1285
1,1,8-9,YC_01,residential,education,Errand->Errand,234
1,1,8-9,MP_02,residential,commercial,Work->Work,1502
1,1,8-9,MP_02,residential,education,Errand->Errand,115
1,1,8-9,RT_03,residential,civic,Errand->Errand,92
1,1,8-9,LI_04,residential,commercial,Work->Work,1155
1,1,8-9,LI_04,residential,education,Errand->Errand,231
1,1,8-9,FH_05,residential,commercial,Work->Work,1271
1,1,8-9,FH_05,residential,education,Errand->Errand,347
1,1,8-9,SY_06,residential,commercial,Work->Work,462
1,1,8-9,SY_06,residential,education,Errand->Errand,115
1,1,8-9,HE_07,residential,commercial,Work->Work,1617
1,1,8-9,HE_07,residential,education,Errand->Errand,115
1,0,8-9,YC_01,residential,commercial,Work->Work,38
1,0,8-9,MP_02,residential,commercial,Work->Work,42
1,0,8-9,LI_04,residential,commercial,Work->Work,32
1,0,8-9,FH_05,residential,commercial,Work->Work,36
1,0,8-9,SY_06,residential,commercial,Work->Work,13
1,0,8-9,HE_07,residential,commercial,Work->Work,45
1,2,8-9,YC_01,residential,commercial,Work->Work,47
1,2,8-9,MP_02,residential,commercial,Work->Work,52
1,2,8-9,LI_04,residential,commercial,Work->Work,40
1,2,8-9,FH_05,residential,commercial,Work->Work,45
1,2,8-9,SY_06,residential,commercial,Work->Work,16
1,2,8-9,HE_07,residential,commercial,Work->Work,57
1,3,8-9,YC_01,residential,commercial,Work->Work,70
1,3,8-9,MP_02,residential,commercial,Work->Work,78
1,3,8-9,LI_04,residential,commercial,Work->Work,60
1,3,8-9,FH_05,residential,commercial,Work->Work,68
1,3,8-9,SY_06,residential,commercial,Work->Work,24
1,3,8-9,HE_07,residential,commercial,Work->Work,86
1,4,8-9,YC_01,residential,commercial,Work->Work,96
1,4,8-9,MP_02,residential,commercial,Work->Work,107
1,4,8-9,LI_04,residential,commercial,Work->Work,83
1,4,8-9,FH_05,residential,commercial,Work->Work,93
1,4,8-9,SY_06,residential,commercial,Work->Work,33
1,4,8-9,HE_07,residential,commercial,Work->Work,118
1,5,8-9,YC_01,residential,commercial,Work->Work,101
1,5,8-9,MP_02,residential,commercial,Work->Work,112
1,5,8-9,LI_04,residential,commercial,Work->Work,87
1,5,8-9,FH_05,residential,commercial,Work->Work,98
1,5,8-9,SY_06,residential,commercial,Work->Work,35
1,5,8-9,HE_07,residential,commercial,Work->Work,124
1,6,8-9,YC_01,residential,commercial,Work->Work,67
1,6,8-9,MP_02,residential,commercial,Work->Work,75
1,6,8-9,LI_04,residential,commercial,Work->Work,58
1,6,8-9,FH_05,residential,commercial,Work->Work,65
1,6,8-9,SY_06,residential,commercial,Work->Work,23
1,6,8-9,HE_07,residential,commercial,Work->Work,82
1,7,8-9,YC_01,residential,commercial,Work->Work,285
1,7,8-9,MP_02,residential,commercial,Work->Work,317
1,7,8-9,LI_04,residential,commercial,Work->Work,245
1,7,8-9,FH_05,residential,commercial,Work->Work,277
1,7,8-9,SY_06,residential,commercial,Work->Work,98
1,7,8-9,HE_07,residential,commercial,Work->Work,349
1,8,8-9,YC_01,residential,commercial,Work->Work,11
1,8,8-9,MP_02,residential,commercial,Work->Work,12
1,8,8-9,LI_04,residential,commercial,Work->Work,9
1,8,8-9,FH_05,residential,commercial,Work->Work,10
1,8,8-9,SY_06,residential,commercial,Work->Work,4
1,8,8-9,HE_07,residential,commercial,Work->Work,13
1,9,8-9,YC_01,residential,commercial,Work->Work,12
1,9,8-9,MP_02,residential,commercial,Work->Work,13
1,9,8-9,LI_04,residential,commercial,Work->Work,10
1,9,8-9,FH_05,residential,commercial,Work->Work,12
1,9,8-9,SY_06,residential,commercial,Work->Work,4
1,9,8-9,HE_07,residential,commercial,Work->Work,15
1,10,8-9,YC_01,residential,commercial,Work->Work,83
1,10,8-9,MP_02,residential,commercial,Work->Work,92
1,10,8-9,LI_04,residential,commercial,Work->Work,71
1,10,8-9,FH_05,residential,commercial,Work->Work,80
1,10,8-9,SY_06,residential,commercial,Work->Work,28
1,10,8-9,HE_07,residential,commercial,Work->Work,101
1,11,8-9,YC_01,residential,commercial,Work->Work,175
1,11,8-9,MP_02,residential,commercial,Work->Work,195
1,11,8-9,LI_04,residential,commercial,Work->Work,151
1,11,8-9,FH_05,residential,commercial,Work->Work,170
1,11,8-9,SY_06,residential,commercial,Work->Work,60
1,11,8-9,HE_07,residential,commercial,Work->Work,214
1,12,8-9,YC_01,residential,commercial,Work->Work,8
1,12,8-9,MP_02,residential,commercial,Work->Work,9
1,12,8-9,LI_04,residential,commercial,Work->Work,7
1,12,8-9,FH_05,residential,commercial,Work->Work,8
1,12,8-9,SY_06,residential,commercial,Work->Work,3
1,12,8-9,HE_07,residential,commercial,Work->Work,10
1,14,8-9,YC_01,residential,commercial,Work->Work,25
1,14,8-9,MP_02,residential,commercial,Work->Work,28
1,14,8-9,LI_04,residential,commercial,Work->Work,22
1,14,8-9,FH_05,residential,commercial,Work->Work,25
1,14,8-9,SY_06,residential,commercial,Work->Work,9
1,14,8-9,HE_07,residential,commercial,Work->Work,31
1,15,8-9,YC_01,residential,commercial,Work->Work,79
1,15,8-9,MP_02,residential,commercial,Work->Work,88
1,15,8-9,LI_04,residential,commercial,Work->Work,68
1,15,8-9,FH_05,residential,commercial,Work->Work,77
1,15,8-9,SY_06,residential,commercial,Work->Work,27
1,15,8-9,HE_07,residential,commercial,Work->Work,97
1,16,8-9,YC_01,residential,commercial,Work->Work,89
1,16,8-9,MP_02,residential,commercial,Work->Work,99
1,16,8-9,LI_04,residential,commercial,Work->Work,77
1,16,8-9,FH_05,residential,commercial,Work->Work,87
1,16,8-9,SY_06,residential,commercial,Work->Work,31
1,16,8-9,HE_07,residential,commercial,Work->Work,109
2,0,8-9,YC_01,residential,commercial,Sleep->Work,40
2,0,8-9,MP_02,residential,commercial,Sleep->Work,45
2,0,8-9,RT_03,residential,civic,Sleep->Errand,5
2,0,8-9,LI_04,residential,industrial,Sleep->Work,35
2,0,8-9,FH_05,residential,commercial,Sleep->Work,38
2,0,8-9,SY_06,residential,education,Sleep->Work,20
2,0,8-9,HE_07,residential,commercial,Sleep->Work,50
2,1,8-9,YC_01,residential,commercial,Sleep->Work,32
2,1,8-9,MP_02,residential,commercial,Sleep->Work,36
2,1,8-9,RT_03,residential,civic,Sleep->Errand,4
2,1,8-9,LI_04,residential,commercial,Sleep->Work,28
2,1,8-9,FH_05,residential,commercial,Sleep->Work,30
2,1,8-9,SY_06,residential,education,Sleep->Work,16
2,1,8-9,HE_07,residential,commercial,Sleep->Work,40
2,2,8-9,YC_01,residential,commercial,Sleep->Work,528
2,2,8-9,MP_02,residential,commercial,Sleep->Work,594
2,2,8-9,RT_03,residential,civic,Sleep->Errand,66
2,2,8-9,LI_04,residential,commercial,Sleep->Work,462
2,2,8-9,FH_05,residential,commercial,Sleep->Work,495
2,2,8-9,SY_06,residential,education,Sleep->Work,264
2,2,8-9,HE_07,residential,commercial,Sleep->Work,660
2,3,8-9,YC_01,residential,commercial,Sleep->Work,99
2,3,8-9,MP_02,residential,commercial,Sleep->Work,112
2,3,8-9,RT_03,residential,civic,Sleep->Errand,12
2,3,8-9,LI_04,residential,industrial,Sleep->Work,87
2,3,8-9,FH_05,residential,commercial,Sleep->Work,93
2,3,8-9,SY_06,residential,education,Sleep->Work,50
2,3,8-9,HE_07,residential,commercial,Sleep->Work,124
2,4,8-9,YC_01,residential,commercial,Sleep->Work,8
2,4,8-9,MP_02,residential,commercial,Sleep->Work,9
2,4,8-9,RT_03,residential,civic,Sleep->Errand,1
2,4,8-9,LI_04,residential,commercial,Sleep->Work,7
2,4,8-9,FH_05,residential,commercial,Sleep->Work,8
2,4,8-9,SY_06,residential,education,Sleep->Work,4
2,4,8-9,HE_07,residential,commercial,Sleep->Work,10
2,5,8-9,YC_01,residential,commercial,Sleep->Work,3
2,5,8-9,MP_02,residential,commercial,Sleep->Work,3
2,5,8-9,LI_04,residential,commercial,Sleep->Work,2
2,5,8-9,FH_05,residential,commercial,Sleep->Work,3
2,5,8-9,SY_06,residential,education,Sleep->Work,1
2,5,8-9,HE_07,residential,commercial,Sleep->Work,4
2,6,8-9,YC_01,residential,commercial,Sleep->Work,7
2,6,8-9,MP_02,residential,commercial,Sleep->Work,8
2,6,8-9,RT_03,residential,civic,Sleep->Errand,1
2,6,8-9,LI_04,residential,industrial,Sleep->Work,6
2,6,8-9,FH_05,residential,commercial,Sleep->Work,6
2,6,8-9,SY_06,residential,education,Sleep->Work,3
2,6,8-9,HE_07,residential,commercial,Sleep->Work,8
2,7,8-9,YC_01,residential,commercial,Sleep->Work,8
2,7,8-9,MP_02,residential,commercial,Sleep->Work,9
2,7,8-9,RT_03,residential,civic,Sleep->Errand,1
2,7,8-9,LI_04,residential,commercial,Sleep->Work,7
2,7,8-9,FH_05,residential,commercial,Sleep->Work,8
2,7,8-9,SY_06,residential,education,Sleep->Work,4
2,7,8-9,HE_07,residential,commercial,Sleep->Work,10
2,8,8-9,HE_07,residential,commercial,Sleep->Work,1
2,9,8-9,YC_01,residential,commercial,Sleep->Work,26
2,9,8-9,MP_02,residential,commercial,Sleep->Work,30
2,9,8-9,RT_03,residential,civic,Sleep->Errand,3
2,9,8-9,LI_04,residential,industrial,Sleep->Work,23
2,9,8-9,FH_05,residential,commercial,Sleep->Work,25
2,9,8-9,SY_06,residential,education,Sleep->Work,13
2,9,8-9,HE_07,residential,commercial,Sleep->Work,33
2,10,8-9,YC_01,residential,commercial,Sleep->Work,5
2,10,8-9,MP_02,residential,commercial,Sleep->Work,6
2,10,8-9,RT_03,residential,civic,Sleep->Errand,1
2,10,8-9,LI_04,residential,commercial,Sleep->Work,5
2,10,8-9,FH_05,residential,commercial,Sleep->Work,5
2,10,8-9,SY_06,residential,education,Sleep->Work,3
2,10,8-9,HE_07,residential,commercial,Sleep->Work,7
2,11,8-9,YC_01,residential,commercial,Sleep->Work,36
2,11,8-9,MP_02,residential,commercial,Sleep->Work,41
2,11,8-9,RT_03,residential,civic,Sleep->Errand,5
2,11,8-9,LI_04,residential,commercial,Sleep->Work,32
2,11,8-9,FH_05,residential,commercial,Sleep->Work,34
2,11,8-9,SY_06,residential,education,Sleep->Work,18
2,11,8-9,HE_07,residential,commercial,Sleep->Work,45
2,12,8-9,YC_01,residential,commercial,Sleep->Work,14
2,12,8-9,MP_02,residential,commercial,Sleep->Work,16
2,12,8-9,RT_03,residential,civic,Sleep->Errand,2
2,12,8-9,LI_04,residential,commercial,Sleep->Work,12
2,12,8-9,FH_05,residential,commercial,Sleep->Work,13
2,12,8-9,SY_06,residential,education,Sleep->Work,7
2,12,8-9,HE_07,residential,commercial,Sleep->Work,17
2,14,8-9,YC_01,residential,commercial,Sleep->Work,12
2,14,8-9,MP_02,residential,commercial,Sleep->Work,14
2,14,8-9,RT_03,residential,civic,Sleep->Errand,2
2,14,8-9,LI_04,residential,commercial,Sleep->Work,11
2,14,8-9,FH_05,residential,commercial,Sleep->Work,11
2,14,8-9,SY_06,residential,education,Sleep->Work,6
2,14,8-9,HE_07,residential,commercial,Sleep->Work,15
2,15,8-9,YC_01,residential,commercial,Sleep->Work,58
2,15,8-9,MP_02,residential,commercial,Sleep->Work,66
2,15,8-9,RT_03,residential,civic,Sleep->Errand,7
2,15,8-9,LI_04,residential,commercial,Sleep->Work,51
2,15,8-9,FH_05,residential,commercial,Sleep->Work,55
2,15,8-9,SY_06,residential,education,Sleep->Work,29
2,15,8-9,HE_07,residential,commercial,Sleep->Work,73
2,16,8-9,YC_01,residential,commercial,Sleep->Work,4
2,16,8-9,MP_02,residential,commercial,Sleep->Work,5
2,16,8-9,RT_03,residential,civic,Sleep->Errand,1
2,16,8-9,LI_04,residential,commercial,Sleep->Work,4
2,16,8-9,FH_05,residential,commercial,Sleep->Work,4
2,16,8-9,SY_06,residential,education,Sleep->Work,2
2,16,8-9,HE_07,residential,commercial,Sleep->Work,5
3,0,8-9,YC_01,residential,commercial,Work->Work,127
3,0,8-9,MP_02,residential,commercial,Work->Work,149
3,0,8-9,LI_04,residential,commercial,Work->Work,106
3,0,8-9,FH_05,residential,commercial,Work->Work,116
3,0,8-9,SY_06,residential,education,Work->Work,42
3,0,8-9,HE_07,residential,commercial,Work->Work,148
3,1,8-9,YC_01,residential,commercial,Work->Work,16
3,1,8-9,MP_02,residential,commercial,Work->Work,19
3,1,8-9,LI_04,residential,commercial,Work->Work,13
3,1,8-9,FH_05,residential,commercial,Work->Work,15
3,1,8-9,SY_06,residential,education,Work->Work,5
3,1,8-9,HE_07,residential,commercial,Work->Work,19
3,2,8-9,YC_01,residential,commercial,Work->Work,72
3,2,8-9,MP_02,residential,commercial,Work->Work,85
3,2,8-9,LI_04,residential,commercial,Work->Work,60
3,2,8-9,FH_05,residential,commercial,Work->Work,66
3,2,8-9,SY_06,residential,education,Work->Work,24
3,2,8-9,HE_07,residential,commercial,Work->Work,84
3,3,8-9,YC_01,residential,commercial,Work->Work,466
3,3,8-9,MP_02,residential,commercial,Work->Work,546
3,3,8-9,LI_04,residential,commercial,Work->Work,388
3,3,8-9,FH_05,residential,commercial,Work->Work,424
3,3,8-9,SY_06,residential,education,Work->Work,155
3,3,8-9,HE_07,residential,commercial,Work->Work,541
3,4,8-9,YC_01,residential,commercial,Work->Work,17
3,4,8-9,MP_02,residential,commercial,Work->Work,20
3,4,8-9,LI_04,residential,commercial,Work->Work,14
3,4,8-9,FH_05,residential,commercial,Work->Work,16
3,4,8-9,SY_06,residential,education,Work->Work,6
3,4,8-9,HE_07,residential,commercial,Work->Work,20
3,5,8-9,YC_01,residential,commercial,Work->Work,19
3,5,8-9,MP_02,residential,commercial,Work->Work,22
3,5,8-9,LI_04,residential,commercial,Work->Work,16
3,5,8-9,FH_05,residential,commercial,Work->Work,17
3,5,8-9,SY_06,residential,education,Work->Work,6
3,5,8-9,HE_07,residential,commercial,Work->Work,22
3,6,8-9,YC_01,residential,industrial,Work->Work,5
3,6,8-9,MP_02,residential,industrial,Work->Work,6
3,6,8-9,LI_04,residential,industrial,Work->Work,4
3,6,8-9,FH_05,residential,industrial,Work->Work,5
3,6,8-9,SY_06,residential,education,Work->Work,2
3,6,8-9,HE_07,residential,industrial,Work->Work,6
3,7,8-9,YC_01,residential,commercial,Work->Work,17
3,7,8-9,MP_02,residential,commercial,Work->Work,20
3,7,8-9,LI_04,residential,commercial,Work->Work,14
3,7,8-9,FH_05,residential,commercial,Work->Work,16
3,7,8-9,SY_06,residential,education,Work->Work,6
3,7,8-9,HE_07,residential,commercial,Work->Work,20
3,8,8-9,YC_01,residential,commercial,Work->Work,4
3,8,8-9,MP_02,residential,commercial,Work->Work,5
3,8,8-9,LI_04,residential,commercial,Work->Work,3
3,8,8-9,FH_05,residential,commercial,Work->Work,4
3,8,8-9,SY_06,residential,education,Work->Work,1
3,8,8-9,HE_07,residential,commercial,Work->Work,5
3,9,8-9,YC_01,residential,commercial,Work->Work,119
3,9,8-9,MP_02,residential,commercial,Work->Work,140
3,9,8-9,LI_04,residential,commercial,Work->Work,99
3,9,8-9,FH_05,residential,commercial,Work->Work,109
3,9,8-9,SY_06,residential,education,Work->Work,40
3,9,8-9,HE_07,residential,commercial,Work->Work,139
3,10,8-9,YC_01,residential,commercial,Work->Work,13
3,10,8-9,MP_02,residential,commercial,Work->Work,15
3,10,8-9,LI_04,residential,commercial,Work->Work,11
3,10,8-9,FH_05,residential,commercial,Work->Work,12
3,10,8-9,SY_06,residential,education,Work->Work,4
3,10,8-9,HE_07,residential,commercial,Work->Work,15
3,11,8-9,YC_01,residential,commercial,Work->Work,14
3,11,8-9,MP_02,residential,commercial,Work->Work,16
3,11,8-9,LI_04,residential,commercial,Work->Work,11
3,11,8-9,FH_05,residential,commercial,Work->Work,12
3,11,8-9,SY_06,residential,education,Work->Work,5
3,11,8-9,HE_07,residential,commercial,Work->Work,16
3,12,8-9,YC_01,residential,commercial,Work->Work,22
3,12,8-9,MP_02,residential,commercial,Work->Work,26
3,12,8-9,LI_04,residential,commercial,Work->Work,18
3,12,8-9,FH_05,residential,commercial,Work->Work,20
3,12,8-9,SY_06,residential,education,Work->Work,7
3,12,8-9,HE_07,residential,commercial,Work->Work,26
3,14,8-9,YC_01,residential,commercial,Work->Work,16
3,14,8-9,MP_02,residential,commercial,Work->Work,18
3,14,8-9,LI_04,residential,commercial,Work->Work,13
3,14,8-9,FH_05,residential,commercial,Work->Work,14
3,14,8-9,SY_06,residential,education,Work->Work,5
3,14,8-9,HE_07,residential,commercial,Work->Work,18
3,15,8-9,YC_01,residential,commercial,Work->Work,24
3,15,8-9,MP_02,residential,commercial,Work->Work,28
3,15,8-9,LI_04,residential,commercial,Work->Work,20
3,15,8-9,FH_05,residential,commercial,Work->Work,22
3,15,8-9,SY_06,residential,education,Work->Work,8
3,15,8-9,HE_07,residential,commercial,Work->Work,28
3,16,8-9,YC_01,residential,commercial,Work->Work,25
3,16,8-9,MP_02,residential,commercial,Work->Work,29
3,16,8-9,LI_04,residential,commercial,Work->Work,21
3,16,8-9,FH_05,residential,commercial,Work->Work,23
3,16,8-9,SY_06,residential,education,Work->Work,8
3,16,8-9,HE_07,residential,commercial,Work->Work,29
4,0,8-9,YC_01,residential,commercial,Work->Work,38
4,0,8-9,MP_02,residential,commercial,Work->Work,44
4,0,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,0,8-9,LI_04,residential,commercial,Work->Work,32
4,0,8-9,FH_05,residential,commercial,Work->Work,36
4,0,8-9,SY_06,residential,education,Work->Work,13
4,0,8-9,HE_07,residential,commercial,Work->Work,46
4,1,8-9,YC_01,residential,commercial,Work->Work,94
4,1,8-9,MP_02,residential,commercial,Work->Work,108
4,1,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,1,8-9,LI_04,residential,commercial,Work->Work,78
4,1,8-9,FH_05,residential,commercial,Work->Work,85
4,1,8-9,SY_06,residential,education,Work->Work,31
4,1,8-9,HE_07,residential,commercial,Work->Work,113
4,2,8-9,YC_01,residential,commercial,Work->Work,14
4,2,8-9,MP_02,residential,commercial,Work->Work,16
4,2,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,2,8-9,LI_04,residential,commercial,Work->Work,12
4,2,8-9,FH_05,residential,commercial,Work->Work,13
4,2,8-9,SY_06,residential,education,Work->Work,5
4,2,8-9,HE_07,residential,commercial,Work->Work,17
4,3,8-9,YC_01,residential,commercial,Work->Work,63
4,3,8-9,MP_02,residential,commercial,Work->Work,72
4,3,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,3,8-9,LI_04,residential,commercial,Work->Work,52
4,3,8-9,FH_05,residential,commercial,Work->Work,57
4,3,8-9,SY_06,residential,education,Work->Work,21
4,3,8-9,HE_07,residential,commercial,Work->Work,76
4,4,8-9,YC_01,residential,commercial,Work->Work,1007
4,4,8-9,MP_02,residential,commercial,Work->Work,1159
4,4,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,4,8-9,LI_04,residential,commercial,Work->Work,839
4,4,8-9,FH_05,residential,commercial,Work->Work,914
4,4,8-9,SY_06,residential,education,Work->Work,335
4,4,8-9,HE_07,residential,commercial,Work->Work,1219
4,5,8-9,YC_01,residential,commercial,Work->Work,106
4,5,8-9,MP_02,residential,commercial,Work->Work,122
4,5,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,5,8-9,LI_04,residential,commercial,Work->Work,88
4,5,8-9,FH_05,residential,commercial,Work->Work,96
4,5,8-9,SY_06,residential,education,Work->Work,35
4,5,8-9,HE_07,residential,commercial,Work->Work,128
4,6,8-9,YC_01,residential,commercial,Work->Work,123
4,6,8-9,MP_02,residential,commercial,Work->Work,141
4,6,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,6,8-9,LI_04,residential,commercial,Work->Work,102
4,6,8-9,FH_05,residential,commercial,Work->Work,111
4,6,8-9,SY_06,residential,education,Work->Work,41
4,6,8-9,HE_07,residential,commercial,Work->Work,148
4,7,8-9,YC_01,residential,commercial,Work->Work,247
4,7,8-9,MP_02,residential,commercial,Work->Work,284
4,7,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,7,8-9,LI_04,residential,commercial,Work->Work,206
4,7,8-9,FH_05,residential,commercial,Work->Work,224
4,7,8-9,SY_06,residential,education,Work->Work,82
4,7,8-9,HE_07,residential,commercial,Work->Work,299
4,8,8-9,YC_01,residential,commercial,Work->Work,52
4,8,8-9,MP_02,residential,commercial,Work->Work,60
4,8,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,8,8-9,LI_04,residential,commercial,Work->Work,43
4,8,8-9,FH_05,residential,commercial,Work->Work,47
4,8,8-9,SY_06,residential,education,Work->Work,17
4,8,8-9,HE_07,residential,commercial,Work->Work,63
4,9,8-9,YC_01,residential,commercial,Work->Work,20
4,9,8-9,MP_02,residential,commercial,Work->Work,23
4,9,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,9,8-9,LI_04,residential,commercial,Work->Work,17
4,9,8-9,FH_05,residential,commercial,Work->Work,18
4,9,8-9,SY_06,residential,education,Work->Work,7
4,9,8-9,HE_07,residential,commercial,Work->Work,24
4,10,8-9,YC_01,residential,commercial,Work->Work,345
4,10,8-9,MP_02,residential,commercial,Work->Work,397
4,10,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,10,8-9,LI_04,residential,commercial,Work->Work,288
4,10,8-9,FH_05,residential,commercial,Work->Work,313
4,10,8-9,SY_06,residential,education,Work->Work,115
4,10,8-9,HE_07,residential,commercial,Work->Work,418
4,11,8-9,YC_01,residential,commercial,Work->Work,49
4,11,8-9,MP_02,residential,commercial,Work->Work,57
4,11,8-9,RT_03,residential,residential,Sleep->Sleep,0
4,11,8-9,LI_04,residential,commercial,Work->Work,41
4,11,8-9,FH_05,residential,commercial,Work->Work,45
4,11,8-9,SY_06,residential,education,Work->Work,16
4,11,8-9,HE_07,residential,commercial,Work->Work,60
4,12,8-9,YC_01,residential,commercial,Work->Work,18
4,12,8-9,MP_02,residential,commercial,Work->Work,20
